headline,original_rating,rating,fact_checker,review_url,review_date
"BSP Chief Mayawati saying that she will retire from politics, but will never contest elections by joining hands with the BJP",Misleading,False,NewsMobile,https://www.newsmobile.in/uncategorized/fact-check-old-video-of-bsp-chief-mayawati-talking-about-not-supporting-bjp-viral-as-recent/amp/,2025-03-31T00:00:00Z
Viral video shows IPS officer Shailjakant Mishra speaking about the criminalisation of politics.,False,False,Newschecker,https://www.newschecker.in/fact-check/youtuber-nitish-rajput-misidentified-as-ips-officer-shailajakant-mishra-in-viral-video-about-criminalisation-of-politics,2025-03-28T00:00:00Z
"""Pro-US/Trump political party won Greenland's election last night. The people of Greenland want to end European colonial rule and build a future with America""",False,False,DW,https://www.dw.com/en/fact-check-trumps-false-claims-on-greenland/a-71922116,2025-03-14T00:00:00Z
"Banksy, the epic UK-based artist and political activist. Bansky is a pseudonym and his/her real identity isnt known.",fake,False,Unknown,https://www.misbar.com/en/factcheck/2025/03/09/mural-trump-created-street-artist-loretto-not-banksy,2025-03-09T13:57:41Z
"“China believes that the elections [in Tajikistan] are democratic, open and transparent, and demonstrate the political openness and inclusiveness of the country.”",False,False,VOA,https://www.voanews.com/a/china-falsely-frames-elections-in-tajikistan-as-democratic-inclusive/8003026.html,2025-03-07T21:25:33Z
The prime minister was not standing in front of an Australian flag when he called the election.,False. Photos show two Australian flags behind him during the announcement.,False,Australian Associated Press,https://aap.com.au/factcheck/australian-flag-falsehoods-target-albaneses-election-announcement/,2025-04-01T16:15:04Z
"In March 2025, billionaire Elon Musk, a close ally of U.S. President Donald Trump, offered money to Wisconsin residents for voting in the state's Supreme Court election.",True,True,Snopes,https://www.snopes.com/fact-check/musk-paid-wisconsin-residents-vote/,2025-04-01T16:55:28Z
"The ""buying power"" of $5 has decreased by 30 per cent since Labor was elected.","False. To date, inflation has reduced purchasing power by 12.5 per cent over Labor's term.",False,Australian Associated Press,https://www.aap.com.au/factcheck/five-dollars-gets-you-less-under-labor-but-not-30-per-cent-less/,2025-03-31T14:15:04Z
"Democrats, including VP Kamala Harris, won only in states without ID requirements and lost in Republican-controlled states that enforce them during the 2024 presidential election.",misleading,False,Unknown,https://www.misbar.com/en/factcheck/2025/03/30/kamala-harris-did-not-win-non-id-states-alone,2025-03-30T00:58:09Z
No homes have been built under Labor government housing policies since the last election.,False. At least 119 new homes have been built under Labor policies since May 2022.,False,Australian Associated Press,https://www.aap.com.au/factcheck/coalition-falsely-claims-no-homes-have-been-built-under-labor-policies/,2025-03-28T14:15:03Z
The Australian Electoral Commission received $48 million from the CFMEU.,False. The payments were made to the CFMEU by a coal company.,False,Australian Associated Press,https://www.aap.com.au/factcheck/electoral-commission-falsely-accused-of-taking-cfmeu-donations/,2025-03-21T18:15:07Z
Presidential son and House Senior Deputy Majority Leader Sandro Marcos plans to run for president in the 2028 national elections.,False,False,Rappler,https://www.rappler.com/newsbreak/fact-check/sandro-marcos-ineligible-president-2028/,2025-03-21T05:24:11Z
Says Ukraine President Volodymyr Zelenskyy “engaged in election interference by campaigning” in Pennsylvania for former Democratic presidential nominee Kamala Harris.,False,False,PolitiFact,https://www.politifact.com/factchecks/2025/mar/20/facebook-posts/was-zelenskyys-pennsylvania-visit-election-interfe/,2025-03-20T00:00:00Z
An image shows a Labor party document outlining its policy for the 2025 election.,False. The image is fake.,False,AAP,https://www.aap.com.au/factcheck/fake-labor-policy-document-spreads-online-ahead-of-election/,2025-03-19T09:15:08Z
The EU barred far-right candidate Călin Georgescu from Romanian presidential election re-run.,False,False,Logically Facts,https://www.logicallyfacts.com/en/fact-check/romanian-electoral-authorities-blocked-georgescus-election-re-run-not-european-union,2025-03-19T00:00:00Z
The image shows Telangana CM Revanth Reddy paying tributes to the six promises made by the Congress party before the state assembly elections.,False,False,The Quint,https://www.thequint.com/news/webqoof/telangana-cm-revanth-reddy-paying-tribute-to-six-promises-of-congress-before-elections-viral-image-fact-check,2025-03-16T10:54:41Z
